,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2549,1211.0,METROBANK FS & LA,SAVINGS BANK,STATE,PALISADES PARK,6/28/1991 ,RTC,30758.0,ACQUISITION,350087,474327.0,145771.0
2550,2182.0,UNITED FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,JONESBORO,6/28/1991 ,RTC,28786.0,ACQUISITION,136677,142465.0,16282.0
2551,4371.0,FIRST MUTUAL BANK FOR SAVINGS,SAVINGS BANK,STATE,BOSTON,6/28/1991 ,BIF,17795.0,ACQUISITION,1081228,1129946.0,169857.0
2552,1231.0,SURETY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MORGANTON,7/9/1991 ,RTC,32566.0,ACQUISITION,163447,224820.0,1830.0
2553,2178.0,MONYCOR SAVINGS BANK,SAVINGS BANK,STATE,BARRON,7/12/1991 ,RTC,29295.0,ACQUISITION,137588,151736.0,1906.0
2554,1272.0,PAN AMERICAN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN MATEO,7/12/1991 ,RTC,31800.0,ACQUISITION,250176,287190.0,8346.0
2555,2174.0,DANBURRY SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,DANBURY,7/12/1991 ,RTC,27825.0,ACQUISITION,184143,270228.0,24663.0
2556,4373.0,LANDMARK THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,SAN DIEGO,7/12/1991 ,BIF,25592.0,PAYOUT,15835,16638.0,2208.0
2557,4372.0,DRIPPING SPRINGS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DRIPPING SPRINGS,7/12/1991 ,BIF,23882.0,ACQUISITION,20527,20177.0,3682.0
2558,2158.0,FIDELITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,AUSTIN,7/12/1991 ,RTC,32223.0,PAYOUT,56885,67044.0,4995.0
2559,2150.0,COOPERATIVE FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,WESTMONT,7/19/1991 ,RTC,30545.0,ACQUISITION,46985,74903.0,1.0
2560,7360.0,CLINTON S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CLINTON,7/19/1991 ,RTC,30010.0,ACQUISITION,21565,22220.0,2434.0
2561,2168.0,NEW METROPOLITAN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,HIALEAH,7/19/1991 ,RTC,32494.0,ACQUISITION,43214,18440.0,28173.0
2562,4377.0,COMMUNITY GUARDIAN BANK,COMMERCIAL BANK,STATE,ELMWOOD PARK,7/19/1991 ,BIF,26331.0,ACQUISITION,55038,55327.0,16016.0
2563,4378.0,PONTCHARTRAIN STATE BANK,COMMERCIAL BANK,STATE,METAIRIE,7/19/1991 ,BIF,20960.0,ACQUISITION,142089,139958.0,29418.0
2564,4379.0,THE KERENS BANK,COMMERCIAL BANK,STATE,KERENS,7/25/1991 ,BIF,3283.0,ACQUISITION,19848,19538.0,5128.0
2565,1209.0,ATLANTIC FINANCIAL FSB,SAVINGS BANK,STATE,SAN FRANCISCO,7/26/1991 ,RTC,32301.0,ACQUISITION,413500,448913.0,34963.0
2566,4381.0,THE HOUSATONIC BANK & TRUST CO,COMMERCIAL BANK,STATE,ANSONIA,7/26/1991 ,BIF,22325.0,ACQUISITION,64075,69070.0,13403.0
2567,4380.0,SUBURBAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,HILLSBOROUGH TWNS,7/26/1991 ,BIF,27157.0,ACQUISITION,91287,91091.0,27794.0
2568,7381.0,WESTLAND FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,RAWLINS,7/26/1991 ,RTC,29498.0,ACQUISITION,31705,31809.0,2695.0
2569,1292.0,CORAL COAST FSB,SAVINGS BANK,STATE,BOYNTON BEACH,8/2/1991 ,RTC,32438.0,ACQUISITION,60341,61158.0,16190.0
2570,1238.0,STANDARD FS & LA,SAVINGS BANK,STATE,COLUMBIA,8/2/1991 ,RTC,27618.0,ACQUISITION,280738,319651.0,2702.0
2571,4382.0,CITYTRUST,COMMERCIAL BANK,STATE,BRIDGEPORT,8/9/1991 ,BIF,2531.0,ACQUISITION,1807942,1918530.0,511098.0
2572,7396.0,FIRST FS & LA OF THIEF RIVER FALLS,SAVINGS ASSOCIATION,FEDERAL/STATE,THIEF RIVER FALLS,8/9/1991 ,RTC,29041.0,ACQUISITION,55516,54605.0,2620.0
2573,1279.0,GREAT AMERICAN FSA,SAVINGS BANK,STATE,SAN DIEGO,8/9/1991 ,RTC,28041.0,ACQUISITION,7230789,9523603.0,995496.0
2574,7398.0,LARCHMONT FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LARCHMONT,8/9/1991 ,RTC,28587.0,ACQUISITION,123595,123777.0,6.0
2575,4384.0,SOUTHCOAST BANK CORPORATION,COMMERCIAL BANK,STATE,WEST PALM BEACH,8/9/1991 ,BIF,21605.0,PAYOUT,26674,26094.0,12617.0
2576,4383.0,MECHANICS AND FARMERS SAVINGS BANK,SAVINGS BANK,STATE,BRIDGEPORT,8/9/1991 ,BIF,18256.0,ACQUISITION,903692,1083920.0,324571.0
2577,4385.0,BANK OF SOUTH PALM BEACHES,COMMERCIAL BANK,STATE,HYPOLUXO,8/9/1991 ,BIF,22908.0,ACQUISITION,63475,61282.0,30995.0
2578,2164.0,"CENTRE SA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,ARLINGTON,8/16/1991 ,RTC,32252.0,ACQUISITION,15618,15233.0,4682.0
2579,1210.0,FIRST AMERICAN FSB,SAVINGS BANK,STATE,TUCSON,8/16/1991 ,RTC,32249.0,TRANSFER,130273,144988.0,11229.0
2580,4386.0,ENFIELD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,ENFIELD,8/16/1991 ,BIF,27463.0,TRANSFER,19759,18966.0,4529.0
2581,4387.0,NORTHWEST NATIONAL BANK,COMMERCIAL BANK,FEDERAL,FAYETTEVILLE,8/16/1991 ,BIF,22016.0,ACQUISITION,30190,29438.0,936.0
2582,4389.0,BUCHEL BANK & TRUST CO.,COMMERCIAL BANK,STATE,CUERO,8/22/1991 ,BIF,14421.0,ACQUISITION,24778,25026.0,1255.0
2583,4388.0,FIRST MEXIA BANK,COMMERCIAL BANK,STATE,MEXIA,8/22/1991 ,BIF,15379.0,ACQUISITION,22432,22479.0,3734.0
2584,7412.0,FIRST FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MT. VERNON,8/23/1991 ,RTC,27842.0,ACQUISITION,74359,73142.0,4.0
2585,7415.0,MERCHANTS & MECHANICS FSB,SAVINGS BANK,STATE,SPRINGFIELD,8/23/1991 ,RTC,27693.0,ACQUISITION,206081,209860.0,22550.0
2586,2183.0,NEW AGE FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,ST. LOUIS,8/23/1991 ,RTC,27657.0,ACQUISITION,9585,9238.0,1896.0
2587,4391.0,FIRST NATIONAL BANK AND TRUST CO,COMMERCIAL BANK,FEDERAL,BLACKWELL,8/29/1991 ,BIF,14804.0,ACQUISITION,33799,33498.0,1088.0
2588,4390.0,THE SAN SABA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SAN SABA,8/29/1991 ,BIF,5519.0,ACQUISITION,15492,15607.0,1058.0
2589,4392.0,HILLSBOROUGH BANK AND TRUST CO,COMMERCIAL BANK,STATE,MILFORD,8/30/1991 ,BIF,26792.0,ACQUISITION,59467,49895.0,23907.0
2590,1261.0,HOMESTEAD FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,MIDDLETOWN,8/30/1991 ,RTC,31588.0,ACQUISITION,180986,223248.0,17492.0
2591,2148.0,UNITED FSB,SAVINGS BANK,STATE,PRESTONSBURG,8/30/1991 ,RTC,30961.0,ACQUISITION,39317,39869.0,0.0
2592,7422.0,FUTURE FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,LOUISVILLE,8/30/1991 ,RTC,27862.0,ACQUISITION,408926,422336.0,29147.0
2593,4394.0,HILTON HEAD BANK & TRUST COMPANY,COMMERCIAL BANK,FEDERAL,HILTON HEAD ISLAND,8/30/1991 ,BIF,26273.0,ACQUISITION,63039,64629.0,20857.0
2594,4393.0,LOWELL INSTITUTION FOR SAVINGS,SAVINGS BANK,STATE,LOWELL,8/30/1991 ,BIF,90228.0,ACQUISITION,318149,386363.0,122009.0
2595,7433.0,HEARTLAND S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LA MESA,9/6/1991 ,RTC,32023.0,ACQUISITION,120790,121671.0,18381.0
2596,1291.0,BAY FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,WEST PALM BEACH,9/6/1991 ,RTC,32454.0,ACQUISITION,54053,58064.0,12678.0
2597,4396.0,THE FAMILY BANK AND TRUST,COMMERCIAL BANK,STATE,ALLENSTOWN,9/6/1991 ,BIF,23679.0,ACQUISITION,46973,46671.0,10248.0
2598,4395.0,SUFFIELD BANK,SAVINGS BANK,STATE,SUFFIELD,9/6/1991 ,BIF,18242.0,ACQUISITION,257036,294777.0,83633.0
2599,7435.0,UNITED HOME FEDERAL,SAVINGS ASSOCIATION,FEDERAL/STATE,TOLEDO,9/6/1991 ,RTC,29411.0,ACQUISITION,446860,443424.0,9719.0
2600,2171.0,DAVY CROCKETT FS & LA,SAVINGS BANK,STATE,CROCKETT,9/13/1991 ,RTC,32224.0,PAYOUT,48311,50532.0,2321.0
2601,1235.0,EVERGREEN FS & LA,SAVINGS BANK,STATE,CHARLESTON,9/13/1991 ,RTC,28177.0,ACQUISITION,34959,40271.0,3584.0
2602,4397.0,VALLEY BANK,COMMERCIAL BANK,STATE,WHITE RIVER JUNCTION,9/13/1991 ,BIF,26924.0,ACQUISITION,35568,33694.0,11069.0
2603,1255.0,ABRAHAM LINCOLN FSA,SAVINGS BANK,STATE,DRESHER,9/19/1991 ,RTC,28889.0,ACQUISITION,166964,189089.0,10147.0
2604,4401.0,SOUTHEAST BANK OF WEST FLORIDA,COMMERCIAL BANK,STATE,PENSACOLA,9/19/1991 ,BIF,16944.0,ACQUISITION,88214,97289.0,0.0
2605,4400.0,"SOUTHEAST BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,MIAMI,9/19/1991 ,BIF,3575.0,ACQUISITION,8908637,11026691.0,0.0
2606,4398.0,BANK FIVE FOR SAVINGS,SAVINGS BANK,STATE,ARLINGTON,9/20/1991 ,BIF,24502.0,ACQUISITION,402696,386572.0,96642.0
2607,4399.0,MID-JERSEY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SOMERVILLE,9/20/1991 ,BIF,26946.0,TRANSFER,28451,29471.0,6010.0
2608,2129.0,UNITED SAVINGS OF AMERICA,SAVINGS ASSOCIATION,FEDERAL/STATE,CHICAGO,9/27/1991 ,RTC,27962.0,ACQUISITION,1067681,1160926.0,63518.0
2609,4402.0,MIDCOUNTY BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,NORWOOD,9/27/1991 ,BIF,26843.0,ACQUISITION,58231,62113.0,12361.0
2610,2121.0,NUTLEY SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,NUTLEY,9/27/1991 ,RTC,28742.0,ACQUISITION,178510,188649.0,17887.0
2611,2114.0,FIRST FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,BEAUMONT,9/27/1991 ,RTC,27633.0,ACQUISITION,251734,251153.0,24891.0
2612,1250.0,PLYMOUTH FSA,SAVINGS BANK,STATE,PLYMOUTH,9/27/1991 ,RTC,29460.0,ACQUISITION,137835,174717.0,20068.0
2613,2113.0,EASTERN FS & LA OF SAYVILLE,SAVINGS ASSOCIATION,FEDERAL/STATE,SAYVILLE,9/27/1991 ,RTC,29563.0,ACQUISITION,264912,249533.0,29136.0
2614,2119.0,HOME FS & LA OF HARLAN,SAVINGS ASSOCIATION,FEDERAL/STATE,HARLAN,9/27/1991 ,RTC,29092.0,ACQUISITION,89021,91411.0,35.0
2615,2125.0,SANTA PAULA S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SANTA PAULA,9/27/1991 ,RTC,27867.0,ACQUISITION,242557,280667.0,6947.0
2616,2118.0,GOLD RIVER SB,SAVINGS ASSOCIATION,FEDERAL/STATE,FAIR OAKS,9/27/1991 ,RTC,32400.0,ACQUISITION,21944,24140.0,2094.0
2617,4403.0,HARBOR NATIONAL BANK OF CONNECTICUT,COMMERCIAL BANK,FEDERAL,BRANFORD,10/3/1991 ,BIF,26815.0,ACQUISITION,22824,22853.0,1655.0
2618,4404.0,REAGAN STATE BANK,COMMERCIAL BANK,STATE,BIG LAKE,10/3/1991 ,BIF,20027.0,ACQUISITION,20902,20254.0,4552.0
2619,4408.0,"NUMERICA SAVINGS BANK, FSB",SAVINGS BANK,STATE,MANCHESTER,10/10/1991 ,BIF,17237.0,ACQUISITION,436535,509074.0,110982.0
2620,4406.0,"BANK MERIDIAN, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,HAMPTON,10/10/1991 ,BIF,17879.0,ACQUISITION,105416,109379.0,8162.0
2621,4409.0,BANKEAST,COMMERCIAL BANK,STATE,MANCHESTER,10/10/1991 ,BIF,15952.0,ACQUISITION,631606,816843.0,64402.0
2622,4411.0,AMOSKEAG BANK,SAVINGS BANK,STATE,MANCHESTER,10/10/1991 ,BIF,17178.0,ACQUISITION,768425,937259.0,190785.0
2623,1295.0,HOMEBANK FSA,SAVINGS BANK,STATE,GILFORD,10/10/1991 ,RTC,28946.0,ACQUISITION,192059,255081.0,16683.0
2624,4410.0,DARTMOUTH BANK,SAVINGS BANK,STATE,MANCHESTER,10/10/1991 ,BIF,26700.0,ACQUISITION,835263,877159.0,220604.0
2625,4412.0,NEW HAMPSHIRE SAVINGS BANK,SAVINGS BANK,STATE,CONCORD,10/10/1991 ,BIF,27287.0,ACQUISITION,947219,1171673.0,229739.0
2626,4407.0,NASHUA TRUST COMPANY,COMMERCIAL BANK,STATE,NASHUA,10/10/1991 ,BIF,11486.0,ACQUISITION,397018,425059.0,35469.0
2627,2132.0,"THE FIRST, FEDERAL ASSOCIATION",SAVINGS ASSOCIATION,FEDERAL/STATE,ORLANDO,10/11/1991 ,RTC,28763.0,ACQUISITION,960802,1066094.0,148030.0
2628,4405.0,IONA SAVINGS BANK,SAVINGS BANK,STATE,TILTON,10/11/1991 ,BIF,17189.0,ACQUISITION,29513,31180.0,5334.0
2629,2189.0,FIRST FEDERAL SAVINGS,SAVINGS BANK,STATE,LUBBOCK,10/11/1991 ,RTC,29191.0,ACQUISITION,222486,223669.0,5152.0
2630,1249.0,LIFE FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,CLEARWATER,10/11/1991 ,RTC,31990.0,ACQUISITION,88524,107603.0,9210.0
2631,1299.0,OAKTREE FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS,10/13/1991 ,RTC,32090.0,ACQUISITION,2256189,2214549.0,2345947.0
2632,1271.0,CITIZENS FSA,SAVINGS BANK,STATE,JACKSONVILLE,10/16/1991 ,RTC,32615.0,ACQUISITION,66972,65710.0,8855.0
2633,1232.0,FIRST FS & LA,SAVINGS BANK,STATE,PONTIAC,10/16/1991 ,RTC,29342.0,ACQUISITION,558620,916980.0,34307.0
2634,4413.0,CENTRAL BANK,SAVINGS BANK,STATE,MERIDEN,10/18/1991 ,BIF,17822.0,ACQUISITION,627935,654715.0,242063.0
2635,4415.0,"MISSION VALLEY BANK, NATIONAL ASSOC",COMMERCIAL BANK,FEDERAL,SAN CLEMENTE,10/18/1991 ,BIF,24565.0,TRANSFER,40510,42672.0,14527.0
2636,4414.0,CONNECTICUT VALLEY BANK,COMMERCIAL BANK,STATE,CROMWELL,10/18/1991 ,BIF,27373.0,ACQUISITION,27862,28359.0,8598.0
2637,4416.0,"FIRST NATIONAL BANK, BEDFORD",COMMERCIAL BANK,FEDERAL,BEDFORD,10/24/1991 ,BIF,25837.0,ACQUISITION,23253,23189.0,2394.0
2638,4418.0,THE CITIZENS BANK OF PAGOSA SPRINGS,COMMERCIAL BANK,STATE,PAGOSA SPRINGS,10/25/1991 ,BIF,10413.0,ACQUISITION,16649,17275.0,2055.0
2639,4417.0,COOLIDGE BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,BOSTON,10/25/1991 ,BIF,18317.0,ACQUISITION,315007,321204.0,85653.0
2640,4419.0,FIRST HANOVER BANK,COMMERCIAL BANK,STATE,WILMINGTON,10/25/1991 ,BIF,26561.0,ACQUISITION,46547,48212.0,5704.0
2641,4422.0,"THE PRIVATE BANK & TRUST, NATION",COMMERCIAL BANK,FEDERAL,MIAMI,10/29/1991 ,BIF,26695.0,PAYOUT,0,4264.0,1536.0
2642,4420.0,BANK OF THE SOUTH,COMMERCIAL BANK,STATE,BATON ROUGE,10/30/1991 ,BIF,22824.0,ACQUISITION,31307,31835.0,3583.0
2643,4421.0,UNION BANK,COMMERCIAL BANK,STATE,SAN ANTONIO,10/31/1991 ,BIF,15514.0,ACQUISITION,85239,84877.0,8889.0
2644,1226.0,MARINE VIEW FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,MIDDLETOWN,11/1/1991 ,RTC,30027.0,ACQUISITION,107526,119221.0,3835.0
2645,4423.0,COMMUNITY NATIONAL BANK AND TRUST,COMMERCIAL BANK,FEDERAL,NEW YORK,11/7/1991 ,BIF,19519.0,TRANSFER,354235,333771.0,95868.0
2646,1256.0,DELTA FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,WESTMINSTER,11/8/1991 ,RTC,32143.0,ACQUISITION,29400,52410.0,11975.0
2647,1297.0,COBB FSA,SAVINGS BANK,STATE,MARIETTA,11/8/1991 ,RTC,32543.0,ACQUISITION,82813,83159.0,25527.0
2648,4424.0,CONNECTICUT SAVINGS BANK,SAVINGS BANK,STATE,NEW HAVEN,11/14/1991 ,BIF,18239.0,ACQUISITION,897732,1044990.0,203462.0
2649,4425.0,ALVARADO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,ALVARADO,11/14/1991 ,BIF,25898.0,ACQUISITION,9489,9169.0,2835.0
2650,4426.0,WORTHINGTON STATE BANK,COMMERCIAL BANK,STATE,WORTHINGTON,11/14/1991 ,BIF,12124.0,TRANSFER,34227,36646.0,1427.0
2651,4427.0,DURHAM TRUST COMPANY,COMMERCIAL BANK,STATE,DURHAM,11/15/1991 ,BIF,16927.0,ACQUISITION,68528,71024.0,6312.0
2652,1277.0,WHITE HORSE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,TRENTON,11/22/1991 ,RTC,30665.0,ACQUISITION,67897,72477.0,16819.0
2653,1224.0,CHASE SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,PHILADELPHIA,11/22/1991 ,RTC,30324.0,ACQUISITION,46011,46857.0,10445.0
2654,2196.0,WESTERN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CLENVIEW,11/22/1991 ,RTC,28446.0,ACQUISITION,26424,33164.0,1849.0
2655,2191.0,PEOPLES FSA,SAVINGS BANK,STATE,OTTUMWA,11/22/1991 ,RTC,28295.0,ACQUISITION,33662,34316.0,735.0
2656,4428.0,FIRST NATIONAL BANK OF MIAMI,COMMERCIAL BANK,FEDERAL,MIAMI,11/26/1991 ,BIF,26274.0,TRANSFER,40877,40462.0,6270.0
2657,4429.0,SAYBROOK BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,OLD SAYBROOK,12/6/1991 ,BIF,25128.0,ACQUISITION,78375,77287.0,18749.0
2658,4430.0,GRANITE CO-OPERATIVE BANK,SAVINGS BANK,STATE,QUINCY,12/12/1991 ,BIF,26585.0,TRANSFER,84328,103814.0,14026.0
2659,4434.0,THE BANK MART,SAVINGS BANK,STATE,BRIDGEPORT,12/13/1991 ,BIF,17048.0,ACQUISITION,486776,578220.0,93901.0
2660,4432.0,MERCHANTS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,LEOMINSTER,12/13/1991 ,BIF,2599.0,ACQUISITION,147364,153615.0,29446.0
2661,1215.0,INVESTORS FSB,SAVINGS BANK,STATE,RICHMOND,12/13/1991 ,RTC,31724.0,ACQUISITION,1431239,2057643.0,470676.0
2662,4435.0,"FEDERAL FINANCE & MORTGAGE, LTD",COMMERCIAL BANK,STATE,HONOLULU,12/13/1991 ,BIF,26241.0,TRANSFER,7427,7732.0,878.0
2663,4431.0,BANK OF EAST HARTFORD,COMMERCIAL BANK,STATE,EAST HARTFORD,12/13/1991 ,BIF,27151.0,ACQUISITION,38396,36581.0,12893.0
2664,4433.0,NORTH RIDGE BANK,COMMERCIAL BANK,STATE,OAKLAND PARK,12/20/1991 ,BIF,21113.0,ACQUISITION,92729,94332.0,2931.0
2665,4436.0,ASSURED THRIFT AND LOAN ASSOCIATION,COMMERCIAL BANK,STATE,STOCKTON,1/3/1992 ,BIF,26493.0,PAYOUT,46635,48226.0,21028.0
2666,4437.0,THE CITIZENS BANK,COMMERCIAL BANK,STATE,DALLAS,1/10/1992 ,BIF,18720.0,TRANSFER,59063,60568.0,12692.0
2667,2152.0,PERPETUAL SAVINGS BANK,SAVINGS BANK,STATE,VIENNA,1/10/1992 ,RTC,31231.0,ACQUISITION,2447078,2892072.0,453690.0
2668,1265.0,HANSEN FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,HAMMONTON,1/10/1992 ,RTC,31024.0,ACQUISITION,427259,572398.0,42408.0
2669,1294.0,HANSEN FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,PALM BEACH GARDEN,1/10/1992 ,RTC,32258.0,ACQUISITION,43441,51816.0,10907.0
2670,4438.0,THE BANK OF VERDE VALLEY,COMMERCIAL BANK,STATE,COTTONWOOD,1/16/1992 ,BIF,26954.0,ACQUISITION,10155,10254.0,1412.0
2671,4439.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,BANGS,1/23/1992 ,BIF,11138.0,ACQUISITION,16416,16518.0,2977.0
2672,1252.0,ADVANCED FSB,SAVINGS BANK,STATE,NORTHRIDGE,1/24/1992 ,RTC,32210.0,PAYOUT,23557,23089.0,19298.0
2673,4440.0,AMERICAN NATIONAL BANK OF NEW YORK,COMMERCIAL BANK,FEDERAL,FLEISCHMANNS,1/24/1992 ,BIF,7052.0,PAYOUT,17823,18006.0,3633.0
2674,4442.0,"CROSSLAND SAVINGS BANK, FSB",SAVINGS BANK,STATE,BROOKLYN,1/24/1992 ,BIF,16013.0,ACQUISITION,5514987,7431636.0,753397.0
2675,4446.0,INDEPENDENCE BANK,COMMERCIAL BANK,STATE,LOS ANGELES,1/30/1992 ,BIF,18675.0,PAYOUT,547627,535786.0,137204.0
2676,4443.0,ATLANTIC TRUST COMPANY,COMMERCIAL BANK,STATE,NEWINGTON,1/30/1992 ,BIF,25878.0,ACQUISITION,22733,21229.0,5824.0
2677,2156.0,PELICAN HOMESTEAD SA,SAVINGS ASSOCIATION,FEDERAL/STATE,METAIRIE,1/31/1992 ,RTC,29518.0,ACQUISITION,1489485,1284313.0,288288.0
2678,4445.0,FOUNTAIN BANK,COMMERCIAL BANK,STATE,SCOTTSDALE,1/31/1992 ,BIF,26945.0,ACQUISITION,16125,15639.0,4734.0
2679,4444.0,SENTINEL BANK,COMMERCIAL BANK,STATE,HARTFORD,1/31/1992 ,BIF,27000.0,ACQUISITION,73512,74846.0,27542.0
2680,1276.0,SECURITY FSA,SAVINGS BANK,STATE,PANAMA CITY,1/31/1992 ,RTC,30582.0,ACQUISITION,100444,107078.0,15967.0
2681,4448.0,LANDMARK BANK OF FORTH WORTH,COMMERCIAL BANK,STATE,FORT WORTH,2/6/1992 ,BIF,25146.0,ACQUISITION,80517,80529.0,17483.0
2682,2151.0,"UNITED SAVINGS OF AMERICA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,MELBOURNE,2/7/1992 ,RTC,30265.0,ACQUISITION,293368,327158.0,15421.0
2683,4449.0,MERCHANTS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,FORT MYERS,2/7/1992 ,BIF,27213.0,TRANSFER,35262,35091.0,5209.0
2684,4447.0,KEMPTON STATE BANK,COMMERCIAL BANK,STATE,KEMPTON,2/7/1992 ,BIF,16377.0,ACQUISITION,3612,3644.0,564.0
2685,4450.0,THE CENTRAL SAVINGS BANK,SAVINGS BANK,STATE,LOWELL,2/14/1992 ,BIF,90226.0,ACQUISITION,354218,369110.0,26720.0
2686,4451.0,DOLLAR DRY DOCK BANK,SAVINGS BANK,STATE,WHITE PLAINS,2/21/1992 ,BIF,15897.0,ACQUISITION,3733163,4028368.0,309136.0
2687,4453.0,THE BANK OF BRANDYWINE VALLEY,COMMERCIAL BANK,STATE,WEST CHESTER,2/21/1992 ,BIF,27309.0,TRANSFER,47334,44930.0,12081.0
2688,4452.0,NATIONAL CITY BANK,COMMERCIAL BANK,FEDERAL,CORAL SPRINGS,2/21/1992 ,BIF,25882.0,TRANSFER,18593,19031.0,2621.0
2689,4455.0,COLUMBIA BANK,COMMERCIAL BANK,STATE,AVONDALE,2/27/1992 ,BIF,25907.0,TRANSFER,16859,16987.0,3677.0
2690,1244.0,LEMONT FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,LEMONT,2/28/1992 ,RTC,30999.0,ACQUISITION,188801,193664.0,53022.0
2691,4456.0,COLONY SAVINGS BANK,SAVINGS BANK,STATE,WALLINGFORD,2/28/1992 ,BIF,26364.0,ACQUISITION,32801,35664.0,5662.0
2692,1273.0,VISTA FSA,SAVINGS BANK,STATE,RESTON,2/28/1992 ,RTC,32383.0,ACQUISITION,108736,113212.0,36862.0
2693,1230.0,IRVINGTON FSB,SAVINGS ASSOCIATION,FEDERAL/STATE,GLEN BURNIE,2/28/1992 ,RTC,28588.0,ACQUISITION,43203,43817.0,5143.0
2694,1221.0,ALPHA INDIAN ROCK FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PHILADELPHIA,2/28/1992 ,RTC,31238.0,ACQUISITION,7677,7208.0,2779.0
2695,4454.0,MISSION VIEJO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,MISSION VIEJO,2/28/1992 ,BIF,23455.0,PAYOUT,102372,114584.0,31421.0
2696,4457.0,NEW HERITAGE BANK,COMMERCIAL BANK,STATE,LAWRENCE,3/6/1992 ,BIF,27092.0,TRANSFER,99939,99806.0,19261.0
2697,4458.0,PROGRESSIVE NATIONAL BANK OF RAYNE,COMMERCIAL BANK,FEDERAL,RAYNE,3/12/1992 ,BIF,24601.0,ACQUISITION,11177,11412.0,1654.0
2698,1288.0,UKRANIAN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PHILADELPHIA,3/12/1992 ,RTC,30852.0,ACQUISITION,72642,74915.0,8868.0
2699,2175.0,"FIRST OHIO SB, FSB",SAVINGS BANK,STATE,ST. BERNARD,3/13/1992 ,RTC,29158.0,ACQUISITION,31768,40774.0,0.0
2700,1259.0,CARROLTON HOME,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS,3/13/1992 ,RTC,29530.0,ACQUISITION,32646,35856.0,2204.0
2701,4459.0,BROADWAY BANK,COMMERCIAL BANK,STATE,PATERSON,3/13/1992 ,BIF,15000.0,TRANSFER,383318,400540.0,76188.0
2702,4460.0,FIRST SECURITY BANK OF ANACONDA,COMMERCIAL BANK,STATE,ANACONDA,3/16/1992 ,BIF,19801.0,ACQUISITION,30234,31553.0,5990.0
2703,4462.0,INDEPENDENCE BANK,COMMERCIAL BANK,STATE,PLANO,3/19/1992 ,BIF,24793.0,ACQUISITION,20846,21836.0,2809.0
