,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2096,7155.0,FIRST STANDARD FED. SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,FAIRMONT,2/23/1990 ,RTC,30510.0,ACQUISITION,75603,77577.0,4.0
2097,7098.0,FRONTIER FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,WALLA WALLA,2/23/1990 ,RTC,28488.0,ACQUISITION,120037,146865.0,10.0
2098,4158.0,SEARCH NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DALLAS,3/1/1990 ,BIF,26608.0,ACQUISITION,22225,21155.0,6923.0
2099,4159.0,COMMUNITY STATE BANK OF ONALASKA,COMMERCIAL BANK,STATE,ONALASKA,3/1/1990 ,BIF,24075.0,ACQUISITION,9611,9685.0,2931.0
2100,4157.0,FIRST NATIONAL BANK OF SANGER,COMMERCIAL BANK,FEDERAL,SANGER,3/1/1990 ,BIF,5516.0,ACQUISITION,19943,19653.0,2820.0
2101,7225.0,NEW ATHENS FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ATHENS,3/2/1990 ,RTC,31174.0,ACQUISITION,27643,30419.0,1559.0
2102,7179.0,NORTH CAROLINA FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CHARLOTTE,3/2/1990 ,RTC,31744.0,ACQUISITION,455029,628098.0,41802.0
2103,7190.0,SECURITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,RICHMOND,3/2/1990 ,RTC,30752.0,ACQUISITION,237490,341553.0,24020.0
2104,7275.0,PIMA S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,TUCSON,3/2/1990 ,RTC,30697.0,ACQUISITION,2128178,2734063.0,160525.0
2105,7245.0,HAVEN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,WINTER HAVEN,3/2/1990 ,RTC,32588.0,ACQUISITION,146159,172437.0,32869.0
2106,4162.0,CITIZENS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DENTON,3/8/1990 ,BIF,22405.0,ACQUISITION,16845,16160.0,1863.0
2107,4160.0,UNIVERSITY NATIONAL BANK OF COLLEGE STATIO,COMMERCIAL BANK,FEDERAL,COLLEGE STATION,3/8/1990 ,BIF,16457.0,ACQUISITION,39534,36341.0,11740.0
2108,4161.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,SCHULENBERG,3/8/1990 ,BIF,18647.0,ACQUISITION,33426,32735.0,6668.0
2109,7226.0,HIAWATHA SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,HIAWATHA,3/9/1990 ,RTC,28697.0,ACQUISITION,54136,49198.0,38427.0
2110,4163.0,FIRST BANK NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,CLEVELAND,3/9/1990 ,BIF,21630.0,PAYOUT,32147,33087.0,2203.0
2111,7408.0,NASSAU S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PRINCETON,3/9/1990 ,RTC,30795.0,ACQUISITION,275627,313057.0,51884.0
